timestamp,temperature_c,wind_speed_kmh,precipitation_mm,snowfall_cm,climbable
2021-07-01,-9.760101,36.813637,0.038146973,0.0,1
2021-07-02,-10.254242,44.5305,0.28514862,0.0,0
2021-07-03,-10.580902,52.34807,0.12683868,0.0,0
2021-07-04,-12.319031,77.098526,4.779339,0.0,0
2021-07-05,-12.972382,67.599266,0.14925003,0.0,0
2021-07-06,-11.674988,47.934105,0.0047683716,5.9604645e-06,0
2021-07-07,-12.277405,34.605503,2.4409294,0.0,0
2021-07-08,-10.280731,20.147268,0.6670952,0.0,1
2021-07-09,-11.209595,17.962484,0.8096695,0.0,1
2021-07-10,-10.929413,14.36897,1.3628006,0.0,0
2021-07-11,-9.61673,19.780746,1.2631416,0.0,0
2021-07-12,-10.283203,25.47585,1.2197495,0.0,0
2021-07-13,-11.5155945,19.030127,2.904892,0.0,0
2021-07-14,-11.858551,45.368263,1.41716,0.0,0
2021-07-15,-9.695038,37.807446,0.0,0.0,1
2021-07-16,-7.1080627,27.240908,0.0,0.0,1
2021-07-17,-7.8821716,25.03941,0.5760193,0.0,1
2021-07-18,-7.951233,33.466045,0.017166138,0.0,1
2021-07-19,-7.843933,31.72305,0.012874603,0.0,1
2021-07-20,-6.4085083,51.096348,0.0,0.0,0
2021-07-21,-9.396454,48.771732,0.086307526,0.0,0
2021-07-22,-9.718994,68.90125,1.7447472,0.0,0
2021-07-23,-10.449188,66.448006,0.41294098,0.0,0
2021-07-24,-10.72641,57.065613,0.29850006,0.0,0
2021-07-25,-10.417419,48.31232,1.7795563,0.0,0
2021-07-26,-8.928314,51.917534,1.7948151,0.0,0
2021-07-27,-10.427582,70.17615,6.708145,0.0,0
2021-07-28,-10.284607,32.18852,0.111579895,0.0,1
2021-07-29,-8.13327,11.595726,0.14781952,0.0,1
2021-07-30,-8.806061,13.616188,0.1296997,0.0,1
2021-07-31,-9.47937,17.59907,1.4796257,0.0,0
2021-08-01,-10.293823,9.960437,0.8497238,0.0,1
2021-08-02,-10.191467,12.95942,3.9067268,0.0,0
2021-08-03,-8.895233,25.629446,0.076293945,0.0,1
2021-08-04,-9.662018,31.815145,0.2155304,0.0,1
2021-08-05,-9.75473,29.744102,0.4310608,0.0,1
2021-08-06,-8.472473,26.737223,0.0076293945,0.0,1
2021-08-07,-9.02655,51.8498,3.2377243,0.0,0
2021-08-08,-10.029572,49.357895,2.9845238,0.0,0
2021-08-09,-9.652679,49.68003,2.7651787,0.0,0
2021-08-10,-10.060181,62.168327,2.3088455,0.0,0
2021-08-11,-10.0451355,60.588364,2.2916794,0.0,0
2021-08-12,-10.463623,37.59832,1.5873909,0.0,0
2021-08-13,-10.001923,29.627205,0.14781952,0.0,1
2021-08-14,-10.204681,39.711143,2.875805,0.0,0
2021-08-15,-10.8797,34.935066,3.370285,0.0,0
2021-08-16,-10.871887,22.94231,2.2158623,0.0,0
2021-08-17,-10.194275,25.733057,0.11253357,0.0,1
2021-08-18,-10.158447,36.090374,0.44488907,0.0,1
2021-08-19,-11.3302,51.56441,2.1514893,0.0,0
2021-08-20,-10.42981,41.5196,0.5350113,0.0,0
2021-08-21,-10.206696,44.737778,0.52022934,0.0,0
2021-08-22,-11.722534,43.760124,0.2450943,0.0,0
2021-08-23,-12.356537,34.373524,0.56505203,0.0,1
2021-08-24,-12.287445,27.494125,0.7252693,0.0,1
2021-08-25,-10.289398,32.062572,0.0009536743,0.0,1
2021-08-26,-11.047302,44.31211,0.40006638,0.0,0
2021-08-27,-9.285065,57.01345,0.0019073486,0.0,0
2021-08-28,-8.763092,51.378925,0.029087067,0.0,0
2021-08-29,-9.791412,48.769608,0.0014305115,0.0,0
2021-08-30,-10.381165,38.15999,0.05054474,0.0,1
2021-08-31,-10.040649,44.354485,0.8382797,0.0,0
2022-07-01,-11.6423645,39.273403,3.0303001,0.0,0
2022-07-02,-13.91452,74.71563,2.6841164,0.0,0
2022-07-03,-14.890381,57.295578,0.025749207,0.0,0
2022-07-04,-12.984711,50.556988,0.0009536743,0.0,0
2022-07-05,-12.190918,24.798397,0.121593475,0.0,1
2022-07-06,-10.455963,20.91222,0.23508072,0.0,1
2022-07-07,-9.82605,19.280588,0.17976761,0.0,1
2022-07-08,-12.029999,28.755783,0.111579895,0.0,1
2022-07-09,-12.068237,40.304855,0.2655983,0.0,0
2022-07-10,-10.110748,64.30411,0.68950653,0.0,0
2022-07-11,-9.292755,63.642815,1.3856888,0.0,0
2022-07-12,-8.869598,65.91214,3.0231476,0.0,0
2022-07-13,-8.960175,64.283356,0.96559525,0.0,0
2022-07-14,-8.857086,69.94333,0.92315674,0.0,0
2022-07-15,-5.851593,76.54661,0.021457672,0.0,0
2022-07-16,-8.081207,76.74412,0.96797943,0.0,0
2022-07-17,-9.173798,77.60718,2.035141,0.0,0
2022-07-18,-8.342499,83.33965,0.92220306,0.0,0
2022-07-19,-8.832886,85.06251,1.285553,0.0,0
2022-07-20,-8.929535,65.199486,2.5310516,0.0,0
2022-07-21,-10.789215,65.00772,1.7957687,0.0,0
2022-07-22,-12.494171,73.855385,0.18835068,0.0,0
2022-07-23,-14.2829895,70.021034,0.28657913,0.0,0
2022-07-24,-14.393463,56.17979,1.3809204,0.0,0
2022-07-25,-12.566803,37.672012,0.16784668,0.0,1
2022-07-26,-11.29184,58.895576,0.20217896,0.0,0
2022-07-27,-12.014984,67.84245,2.254486,0.0,0
2022-07-28,-7.8068542,63.913635,0.01001358,0.0,0
2022-07-29,-7.2938232,40.238228,0.02002716,0.0,0
2022-07-30,-9.681427,42.50424,0.08583069,0.0,0
2022-07-31,-9.36673,35.787487,0.09059906,0.0,1
2022-08-01,-9.548859,52.8647,0.3938675,0.0,0
2022-08-02,-9.209106,53.1345,2.465248,0.0,0
2022-08-03,-9.064636,50.26744,0.5669594,0.0,0
2022-08-04,-8.905334,50.587494,0.13303757,0.0,0
2022-08-05,-10.205902,73.27793,4.278183,0.0,0
2022-08-06,-9.719879,48.433327,0.14448166,0.0,0
2022-08-07,-10.959778,32.74938,1.4052391,0.0,0
2022-08-08,-11.148468,27.062754,2.7685165,0.0,0
2022-08-09,-7.1182556,24.89491,0.00047683716,0.0,1
2022-08-10,-8.724762,31.067705,1.3928413,0.0,0
2022-08-11,-8.469696,35.731884,1.77145,0.0,0
2022-08-12,-8.658081,30.933502,3.0503273,0.0,0
2022-08-13,-8.413727,31.838797,1.2207031,0.0,0
2022-08-14,-7.292633,59.04004,0.19693375,0.0,0
2022-08-15,-7.0801086,59.125595,0.010967255,0.0,0
2022-08-16,-7.574707,59.114765,0.7944107,0.0,0
2022-08-17,-7.667572,56.254696,0.08583069,0.0,0
2022-08-18,-9.033936,71.02863,0.35381317,0.0,0
2022-08-19,-10.244659,71.07053,0.66041946,0.0,0
2022-08-20,-10.906799,51.096344,0.2822876,0.0,0
2022-08-21,-11.174225,30.604568,0.4014969,0.0,1
2022-08-22,-11.186127,17.455517,1.22118,0.0,0
2022-08-23,-10.312836,18.600737,1.5711784,0.0,0
2022-08-24,-9.858063,20.13455,0.5402565,0.0,1
2022-08-25,-9.858887,28.227758,0.7929802,0.0,1
2022-08-26,-9.647278,35.754982,0.23078918,0.0,1
2022-08-27,-10.166382,40.931175,1.4457703,0.0,0
2022-08-28,-10.242218,44.31655,0.35381317,0.0,0
2022-08-29,-11.246735,38.321587,0.7648468,0.0,1
2022-08-30,-7.4806824,58.77799,0.0,0.0,0
2022-08-31,-9.971405,70.18478,0.17166138,0.0,0
